source_file,year,month,page,rows,columns
England Hotel Occupancy - April 2023.pdf,2023,04,4,5,5
England Hotel Occupancy - April 2023.pdf,2023,04,4,3,5
England Hotel Occupancy - April 2023.pdf,2023,04,5,3,3
England Hotel Occupancy - April 2023.pdf,2023,04,5,3,3
England Hotel Occupancy - April 2023.pdf,2023,04,5,3,3
England Hotel Occupancy - April 2023.pdf,2023,04,5,3,3
England Hotel Occupancy - April 2023.pdf,2023,04,5,3,3
England Hotel Occupancy - April 2023.pdf,2023,04,5,3,3
England Hotel Occupancy - April 2023.pdf,2023,04,5,3,3
England Hotel Occupancy - April 2023.pdf,2023,04,5,3,4
England Hotel Occupancy - April 2023.pdf,2023,04,5,3,4
England Hotel Occupancy - April 2023.pdf,2023,04,9,10,5
England Hotel Occupancy - April 2023.pdf,2023,04,11,10,10
England Hotel Occupancy - April 2023.pdf,2023,04,13,5,5
England Hotel Occupancy - April 2023.pdf,2023,04,15,5,5
England Hotel Occupancy Data August 2023_0.pdf,2023,08,4,5,5
England Hotel Occupancy Data August 2023_0.pdf,2023,08,4,3,5
England Hotel Occupancy Data August 2023_0.pdf,2023,08,5,3,4
England Hotel Occupancy Data August 2023_0.pdf,2023,08,5,3,4
England Hotel Occupancy Data August 2023_0.pdf,2023,08,5,3,3
England Hotel Occupancy Data August 2023_0.pdf,2023,08,5,3,3
England Hotel Occupancy Data August 2023_0.pdf,2023,08,5,3,3
England Hotel Occupancy Data August 2023_0.pdf,2023,08,5,3,4
England Hotel Occupancy Data August 2023_0.pdf,2023,08,5,3,4
England Hotel Occupancy Data August 2023_0.pdf,2023,08,9,10,5
England Hotel Occupancy Data August 2023_0.pdf,2023,08,11,10,10
England Hotel Occupancy Data August 2023_0.pdf,2023,08,13,5,5
England Hotel Occupancy Data August 2023_0.pdf,2023,08,15,5,5
England Hotel Occupancy Data December 2023.pdf,2023,12,4,5,5
England Hotel Occupancy Data December 2023.pdf,2023,12,4,3,5
England Hotel Occupancy Data December 2023.pdf,2023,12,5,3,4
England Hotel Occupancy Data December 2023.pdf,2023,12,5,3,4
England Hotel Occupancy Data December 2023.pdf,2023,12,5,3,4
England Hotel Occupancy Data December 2023.pdf,2023,12,5,3,4
England Hotel Occupancy Data December 2023.pdf,2023,12,5,3,3
England Hotel Occupancy Data December 2023.pdf,2023,12,5,3,4
England Hotel Occupancy Data December 2023.pdf,2023,12,5,3,4
England Hotel Occupancy Data December 2023.pdf,2023,12,9,10,5
England Hotel Occupancy Data December 2023.pdf,2023,12,11,10,10
England Hotel Occupancy Data December 2023.pdf,2023,12,13,5,5
England Hotel Occupancy Data December 2023.pdf,2023,12,15,5,5
England Hotel Occupancy Data July 2023.pdf,2023,07,4,5,5
England Hotel Occupancy Data July 2023.pdf,2023,07,4,3,5
England Hotel Occupancy Data July 2023.pdf,2023,07,5,3,4
England Hotel Occupancy Data July 2023.pdf,2023,07,5,3,3
England Hotel Occupancy Data July 2023.pdf,2023,07,5,3,3
England Hotel Occupancy Data July 2023.pdf,2023,07,5,3,3
England Hotel Occupancy Data July 2023.pdf,2023,07,5,3,3
England Hotel Occupancy Data July 2023.pdf,2023,07,5,3,4
England Hotel Occupancy Data July 2023.pdf,2023,07,5,3,4
England Hotel Occupancy Data July 2023.pdf,2023,07,9,10,5
England Hotel Occupancy Data July 2023.pdf,2023,07,11,10,10
England Hotel Occupancy Data July 2023.pdf,2023,07,13,5,5
England Hotel Occupancy Data July 2023.pdf,2023,07,15,5,5
England Hotel Occupancy Data November 2023_0.pdf,2023,11,4,5,5
England Hotel Occupancy Data November 2023_0.pdf,2023,11,4,3,5
England Hotel Occupancy Data November 2023_0.pdf,2023,11,5,3,4
England Hotel Occupancy Data November 2023_0.pdf,2023,11,5,3,4
England Hotel Occupancy Data November 2023_0.pdf,2023,11,5,3,4
England Hotel Occupancy Data November 2023_0.pdf,2023,11,5,3,4
England Hotel Occupancy Data November 2023_0.pdf,2023,11,5,3,3
England Hotel Occupancy Data November 2023_0.pdf,2023,11,5,3,4
England Hotel Occupancy Data November 2023_0.pdf,2023,11,5,3,4
England Hotel Occupancy Data November 2023_0.pdf,2023,11,9,10,5
England Hotel Occupancy Data November 2023_0.pdf,2023,11,11,10,10
England Hotel Occupancy Data November 2023_0.pdf,2023,11,13,5,5
England Hotel Occupancy Data November 2023_0.pdf,2023,11,15,5,5
England Hotel Occupancy Data October 2023_1.pdf,2023,10,4,5,5
England Hotel Occupancy Data October 2023_1.pdf,2023,10,4,3,5
England Hotel Occupancy Data October 2023_1.pdf,2023,10,5,3,4
England Hotel Occupancy Data October 2023_1.pdf,2023,10,5,3,4
England Hotel Occupancy Data October 2023_1.pdf,2023,10,5,3,4
England Hotel Occupancy Data October 2023_1.pdf,2023,10,5,3,4
England Hotel Occupancy Data October 2023_1.pdf,2023,10,5,3,3
England Hotel Occupancy Data October 2023_1.pdf,2023,10,5,3,4
England Hotel Occupancy Data October 2023_1.pdf,2023,10,5,3,4
England Hotel Occupancy Data October 2023_1.pdf,2023,10,9,10,5
England Hotel Occupancy Data October 2023_1.pdf,2023,10,11,10,10
England Hotel Occupancy Data October 2023_1.pdf,2023,10,13,5,5
England Hotel Occupancy Data October 2023_1.pdf,2023,10,15,5,5
England Hotel Occupancy Data September 2023_0.pdf,2023,09,4,5,5
England Hotel Occupancy Data September 2023_0.pdf,2023,09,4,3,5
England Hotel Occupancy Data September 2023_0.pdf,2023,09,5,3,4
England Hotel Occupancy Data September 2023_0.pdf,2023,09,5,3,4
England Hotel Occupancy Data September 2023_0.pdf,2023,09,5,3,4
England Hotel Occupancy Data September 2023_0.pdf,2023,09,5,3,3
England Hotel Occupancy Data September 2023_0.pdf,2023,09,5,3,3
England Hotel Occupancy Data September 2023_0.pdf,2023,09,5,3,4
England Hotel Occupancy Data September 2023_0.pdf,2023,09,5,3,4
England Hotel Occupancy Data September 2023_0.pdf,2023,09,9,10,5
England Hotel Occupancy Data September 2023_0.pdf,2023,09,11,10,10
England Hotel Occupancy Data September 2023_0.pdf,2023,09,13,5,5
England Hotel Occupancy Data September 2023_0.pdf,2023,09,15,5,5
England Occupancy Survey - June 2023_0.pdf,2023,06,4,5,5
England Occupancy Survey - June 2023_0.pdf,2023,06,4,3,5
England Occupancy Survey - June 2023_0.pdf,2023,06,5,3,3
England Occupancy Survey - June 2023_0.pdf,2023,06,5,3,4
England Occupancy Survey - June 2023_0.pdf,2023,06,5,3,3
England Occupancy Survey - June 2023_0.pdf,2023,06,5,3,3
England Occupancy Survey - June 2023_0.pdf,2023,06,5,3,3
England Occupancy Survey - June 2023_0.pdf,2023,06,5,3,3
England Occupancy Survey - June 2023_0.pdf,2023,06,5,3,4
England Occupancy Survey - June 2023_0.pdf,2023,06,5,3,4
England Occupancy Survey - June 2023_0.pdf,2023,06,9,10,5
England Occupancy Survey - June 2023_0.pdf,2023,06,11,10,10
England Occupancy Survey - June 2023_0.pdf,2023,06,13,5,5
England Occupancy Survey - June 2023_0.pdf,2023,06,15,5,5
england_hotel_occupancy_data_may_2023_final.pdf,2023,05,4,5,5
england_hotel_occupancy_data_may_2023_final.pdf,2023,05,4,3,5
england_hotel_occupancy_data_may_2023_final.pdf,2023,05,5,3,3
england_hotel_occupancy_data_may_2023_final.pdf,2023,05,5,3,3
england_hotel_occupancy_data_may_2023_final.pdf,2023,05,5,3,3
england_hotel_occupancy_data_may_2023_final.pdf,2023,05,5,3,3
england_hotel_occupancy_data_may_2023_final.pdf,2023,05,5,3,3
england_hotel_occupancy_data_may_2023_final.pdf,2023,05,5,3,3
england_hotel_occupancy_data_may_2023_final.pdf,2023,05,5,3,4
england_hotel_occupancy_data_may_2023_final.pdf,2023,05,5,3,4
england_hotel_occupancy_data_may_2023_final.pdf,2023,05,9,10,5
england_hotel_occupancy_data_may_2023_final.pdf,2023,05,11,10,10
england_hotel_occupancy_data_may_2023_final.pdf,2023,05,13,5,5
england_hotel_occupancy_data_may_2023_final.pdf,2023,05,15,5,5
annual_ukos_2021_final_summary_report.pdf,2021,Unknown,3,4,5
